date,ch4_obd,eh,tsoil,waterlevel,site,condition
6/10/2022,0.34742,-31,22.2,3.5,kimjae,irr_3wk
6/17/2022,0.25937,-247,22.2,5.5,kimjae,irr_3wk
6/22/2022,0.46943,-282,24.2,2.8,kimjae,irr_3wk
6/24/2022,0.44561,-314,24,0.2,kimjae,irr_3wk
6/29/2022,0.82725,-380,24.9,-7.9,kimjae,irr_3wk
7/1/2022,0.59613,-9999,25.4,-12,kimjae,irr_3wk
7/5/2022,0.13656,-250,26.5,-13.3,kimjae,irr_3wk
7/8/2022,0.03684,-128,26,3.5,kimjae,irr_3wk
7/12/2022,0.2594,-255,27.8,7.4,kimjae,irr_3wk
7/15/2022,0.28992,-368,25.1,4.7,kimjae,irr_3wk
7/19/2022,0.28459,-444,24.9,13,kimjae,irr_3wk
7/22/2022,0.31753,-271,24.7,12.6,kimjae,irr_3wk
7/26/2022,0.43585,-420,24.8,1.5,kimjae,irr_3wk
8/1/2022,0.51456,96,26.8,3.8,kimjae,irr_3wk
8/4/2022,0.50135,-367,26.3,3.3,kimjae,irr_3wk
8/5/2022,0.51766,-282,26.6,2.8,kimjae,irr_3wk
8/9/2022,0.5943,-171,26.4,9.5,kimjae,irr_3wk
8/12/2022,0.52389,-185,25.5,15.3,kimjae,irr_3wk
8/16/2022,0.64631,-353,26.3,17.2,kimjae,irr_3wk
8/19/2022,0.55986,-419,25.6,10.5,kimjae,irr_3wk
8/23/2022,0.58758,-158,25.6,10.6,kimjae,irr_3wk
8/26/2022,0.40751,-492,23.3,10,kimjae,irr_3wk
8/30/2022,0.38024,-130,23.3,13.4,kimjae,irr_3wk
9/2/2022,0.28171,-244,21.5,13.1,kimjae,irr_3wk
9/7/2022,0.61192,-312,21.5,14.7,kimjae,irr_3wk
9/13/2022,0.34582,-9999,22,12,kimjae,irr_3wk
9/16/2022,0.47348,-196,23,1.2,kimjae,irr_3wk
9/19/2022,0.46857,-250,23,-6.7,kimjae,irr_3wk
9/23/2022,0.03378,-9999,19.1,-2.7,kimjae,irr_3wk
5/24/2022,-0.00185,-9999,19.1,-9999,kimjae,irr_4wk
5/27/2022,-0.00142,-270,17.3,2.5,kimjae,irr_4wk
6/3/2022,0.00481,-215,20.4,2.5,kimjae,irr_4wk
6/10/2022,0.04763,-313,21.7,5.5,kimjae,irr_4wk
6/17/2022,0.07421,-422,22.6,5.5,kimjae,irr_4wk
6/22/2022,0.17772,-300,24.5,2.5,kimjae,irr_4wk
6/24/2022,0.37506,-396,24,0.2,kimjae,irr_4wk
6/29/2022,0.5406,-188,24.9,-7.9,kimjae,irr_4wk
7/1/2022,0.19861,-408,26.5,-12,kimjae,irr_4wk
7/5/2022,0.17326,78.7,25.9,-13.3,kimjae,irr_4wk
7/8/2022,0.14849,380.8,26.1,-5,kimjae,irr_4wk
7/12/2022,0.14279,408.2,27.7,-5,kimjae,irr_4wk
7/15/2022,0.11699,427.6,25.7,-3.7,kimjae,irr_4wk
7/19/2022,0.10174,38.3,24.3,3.2,kimjae,irr_4wk
7/22/2022,0.15799,-219,-9999,4.2,kimjae,irr_4wk
7/26/2022,0.21412,-334.2,24.7,-0.8,kimjae,irr_4wk
8/1/2022,0.25842,-321.8,26.3,3.5,kimjae,irr_4wk
8/4/2022,0.31526,-353.8,27.4,2.9,kimjae,irr_4wk
8/5/2022,0.325,-355.1,26.6,2.3,kimjae,irr_4wk
8/9/2022,0.38562,-357.8,27,3.3,kimjae,irr_4wk
8/12/2022,0.3294,-384.7,25.7,13.1,kimjae,irr_4wk
8/16/2022,0.43418,-406.1,26.1,15.1,kimjae,irr_4wk
8/19/2022,0.39471,-412.8,25.5,8.1,kimjae,irr_4wk
8/23/2022,0.36503,-426.3,25.6,6.1,kimjae,irr_4wk
8/26/2022,0.30261,-422.3,25.7,5.6,kimjae,irr_4wk
8/30/2022,0.27617,-424.9,21.8,5.6,kimjae,irr_4wk
9/2/2022,0.25747,-436,21,6.9,kimjae,irr_4wk
9/7/2022,0.35782,-451.4,21.6,12.7,kimjae,irr_4wk
9/13/2022,0.31772,-9999,21.2,10.1,kimjae,irr_4wk
9/16/2022,0.29929,-454.7,22.6,0.1,kimjae,irr_4wk
9/19/2022,0.38585,-406.4,22.3,-1.2,kimjae,irr_4wk
9/23/2022,0.2416,-9999,18.2,1.6,kimjae,irr_4wk
